dname_drug1,chembl_id_drug1,dname_drug2,chembl_id_drug2,cell_line_name,NCI_thesaurus_code,disease_cui
Lapatinib,CHEMBL554,thalidomide,CHEMBL468,MCF7,C4194,C1134719
Lapatinib,CHEMBL554,Sunitinib,CHEMBL535,A549,C3512,C0152013
Sorafenib,CHEMBL1336,ifosfamide,CHEMBL1024,MCF7,C4194,C1134719
raloxifene,CHEMBL81,Bortezomib,CHEMBL325041,MCF7,C4194,C1134719
raloxifene,CHEMBL81,6-Thioguanine,CHEMBL727,MCF7,C4194,C1134719
Lapatinib,CHEMBL554,anastrozole,CHEMBL1399,MCF7,C4194,C1134719
Sorafenib,CHEMBL1336,Pralatrexate,CHEMBL1201746,MCF7,C4194,C1134719
Dasatinib,CHEMBL1421,Lapatinib,CHEMBL554,A549,C3512,C0152013
temozolomide,CHEMBL810,thalidomide,CHEMBL468,HT29,C4349,C0338106
Romidepsin,CHEMBL343448,7-Ethyl-10-hydroxycamptothecin,CHEMBL837,HT29,C4349,C0338106
temozolomide,CHEMBL810,Sorafenib,CHEMBL1336,HT29,C4349,C0338106
Nilotinib,CHEMBL255863,Sorafenib,CHEMBL1336,A549,C3512,C0152013
Imatinib,CHEMBL941,Vorinostat,CHEMBL98,MCF7,C4194,C1134719
temozolomide,CHEMBL810,7-Ethyl-10-hydroxycamptothecin,CHEMBL837,HT29,C4349,C0338106
Romidepsin,CHEMBL343448,Sorafenib,CHEMBL1336,HT29,C4349,C0338106
letrozole,CHEMBL1444,Sunitinib,CHEMBL535,HT29,C4349,C0338106
temozolomide,CHEMBL810,Sunitinib,CHEMBL535,HT29,C4349,C0338106
raloxifene,CHEMBL81,Dasatinib,CHEMBL1421,MCF7,C4194,C1134719
allopurinol,CHEMBL1467,Ixabepilone,CHEMBL1201752,HT29,C4349,C0338106
Imatinib,CHEMBL941,methoxsalen,CHEMBL416,HT29,C4349,C0338106
anastrozole,CHEMBL1399,allopurinol,CHEMBL1467,MCF7,C4194,C1134719
Dasatinib,CHEMBL1421,anastrozole,CHEMBL1399,HT29,C4349,C0338106
Sunitinib,CHEMBL535,anastrozole,CHEMBL1399,HT29,C4349,C0338106
6-Mercaptopurine,CHEMBL1425,busulfan,CHEMBL820,HT29,C4349,C0338106
Imatinib,CHEMBL941,Dasatinib,CHEMBL1421,MCF7,C4194,C1134719
